"pitcher","pithand","pit_kpct","pit_fbpct","pit_1Bpct","pit_2Bpct","pit_3Bpct","pit_HRpct","pit_ipoutpct","pit_pa","last","first","nickname","name"
"sterj001","R",0.210526315789474,0.0526315789473684,0.157894736842105,0.105263157894737,0,0,0.473684210526316,19,"Sterner","Justin James","Justin","Justin Sterner"
"bradt002","R",0.26643598615917,0.0865051903114187,0.133217993079585,0.0380622837370242,0.00173010380622837,0.0380622837370242,0.43598615916955,578,"Bradley","Taj Ali","Taj","Taj Bradley"
"povic001","L",0.196022727272727,0.105113636363636,0.125,0.0625,0.00568181818181818,0.0340909090909091,0.471590909090909,352,"Povich","Cade Jackie","Cade","Cade Povich"
"bakeb001","R",0.247311827956989,0.0752688172043011,0.10752688172043,0.0645161290322581,0.010752688172043,0.032258064516129,0.462365591397849,93,"Baker","Bryan Scott","Bryan","Bryan Baker"
"walkt004","R",0.152230971128609,0.10498687664042,0.165354330708661,0.05249343832021,0,0.062992125984252,0.461942257217848,381,"Walker","Taijuan Emmanuel","Taijuan","Taijuan Walker"
"vespn001","L",0.183673469387755,0.0612244897959184,0.102040816326531,0.0816326530612245,0,0.0204081632653061,0.551020408163265,49,"Vespi","Nicholas Anthony","Nick","Nick Vespi"
"carrc003","R",0.19910514541387,0.0850111856823266,0.138702460850112,0.058165548098434,0.0111856823266219,0.0425055928411633,0.465324384787472,447,"Carrasco","Carlos Luis","Carlos","Carlos Carrasco"
"currx001","R",0.162790697674419,0.0406976744186047,0.0872093023255814,0.0813953488372093,0.00581395348837209,0.0465116279069767,0.575581395348837,172,"Curry","Xzavion Rashan","Xzavion","Xzavion Curry"
"kroom002","L",0.333333333333333,0.166666666666667,0,0,0,0.166666666666667,0.333333333333333,6,"Krook","Matthew Edward","Matt","Matt Krook"
"biggh001","R",0.328767123287671,0.0684931506849315,0.178082191780822,0.0136986301369863,0.0136986301369863,0.0273972602739726,0.36986301369863,73,"Bigge","Hunter Bradford","Hunter","Hunter Bigge"
"hodgp001","R",0.317073170731707,0.121951219512195,0.0731707317073171,0.024390243902439,0.00609756097560976,0.0121951219512195,0.445121951219512,164,"Hodge","Porter Dene","Porter","Porter Hodge"
"steej002","L",0.243243243243243,0.0738738738738739,0.136936936936937,0.0414414414414414,0,0.0216216216216216,0.482882882882883,555,"Steele","Justin Carl","Justin","Justin Steele"
"coleg001","R",0.253846153846154,0.0897435897435897,0.133333333333333,0.0358974358974359,0.00256410256410256,0.0282051282051282,0.456410256410256,390,"Cole","Gerrit Alan","Gerrit","Gerrit Cole"
"hillt002","L",0.106529209621993,0.0721649484536082,0.233676975945017,0.0240549828178694,0,0.00687285223367698,0.556701030927835,291,"Hill","Timothy James","Tim","Tim Hill"
"nittv001","R",0.173913043478261,0.0434782608695652,0.152173913043478,0.0434782608695652,0,0.0217391304347826,0.565217391304348,46,"Nittoli","Michael Vincent","Vinny","Vinny Nittoli"
"davia003","L",0.181818181818182,0.212121212121212,0.121212121212121,0.0606060606060606,0,0,0.424242424242424,33,"Davis","Austin Richard","Austin","Austin Davis"
"jacoa001","R",0.333333333333333,0.0701754385964912,0.12280701754386,0,0.0175438596491228,0.0175438596491228,0.43859649122807,57,"Jacob","Alek Scott","Alek","Alek Jacob"
"eiseb001","L",0.0769230769230769,0.153846153846154,0.153846153846154,0.0384615384615385,0,0,0.576923076923077,26,"Eisert","Brandon Michael","Brandon","Brandon Eisert"
"rodry002","R",0.161904761904762,0.142857142857143,0.123809523809524,0.0571428571428571,0,0.0666666666666667,0.447619047619048,105,"Rodriguez","Yerry Manuel","Yerry","Yerry Rodriguez"
"bassc001","R",0.221635883905013,0.113456464379947,0.174142480211082,0.0382585751978892,0.00131926121372032,0.0237467018469657,0.427440633245383,758,"Bassitt","Christopher Michael","Chris","Chris Bassitt"
"espip001","R",0.0681818181818182,0.136363636363636,0.136363636363636,0.0681818181818182,0.0454545454545455,0.0681818181818182,0.477272727272727,44,"Espino","Paolo Alesandro","Paolo","Paolo Espino"
"ribao001","R",0.130434782608696,0.130434782608696,0.347826086956522,0.0869565217391304,0,0,0.304347826086957,23,"Ribalta","Orlando Andres","Orlando","Orlando Ribalta"
"hornb002","L",0.147727272727273,0.113636363636364,0.147727272727273,0.0454545454545455,0,0.0568181818181818,0.488636363636364,88,"Horn","Bailey Christian Tant","Bailey","Bailey Horn"
"shugc001","R",0.222222222222222,0.0833333333333333,0.166666666666667,0.0277777777777778,0,0.0277777777777778,0.472222222222222,36,"Shugart","Chase Colton","Chase","Chase Shugart"
"kellz001","R",0.253112033195021,0.120331950207469,0.107883817427386,0.033195020746888,0,0.04149377593361,0.443983402489627,241,"Kelly","Zachery Reed","Zack","Zack Kelly"
"arris001","R",0.270569620253165,0.113924050632911,0.134493670886076,0.0506329113924051,0.00158227848101266,0.0332278481012658,0.395569620253165,632,"Arrighetti","Spencer Zane","Spencer","Spencer Arrighetti"
"dubis001","R",0.236714975845411,0.135265700483092,0.144927536231884,0.0579710144927536,0,0.0144927536231884,0.410628019323671,207,"Dubin","Shawn Anthony","Shawn","Shawn Dubin"
"kingb001","L",0.293577981651376,0.119266055045872,0.128440366972477,0.0458715596330275,0,0.00917431192660551,0.403669724770642,109,"King","Bryan Dalton","Bryan","Bryan King"
"toust001","R",0.222222222222222,0.162393162393162,0.205128205128205,0.0512820512820513,0.0170940170940171,0.0256410256410256,0.316239316239316,117,"Toussaint","Dany Gilbert Kiti","Touki","Touki Toussaint"
"nastn001","R",0.149425287356322,0.21264367816092,0.103448275862069,0.0344827586206897,0.00574712643678161,0.0402298850574713,0.454022988505747,174,"Nastrini","Nicholas","Nick","Nick Nastrini"
"fostm001","R",0.133333333333333,0.166666666666667,0.1,0.0333333333333333,0,0.0333333333333333,0.533333333333333,30,"Foster","Matthew James","Matt","Matt Foster"
