"batter","bathand","bat_kpct","bat_fbpct","bat_1Bpct","bat_2Bpct","bat_3Bpct","bat_HRpct","bat_ipoutpct","bat_pa"
"brujv001","B",0.194244604316547,0.10431654676259,0.133093525179856,0.0503597122302158,0.00719424460431655,0.00719424460431655,0.503597122302158,278
"wiseb001","L",0.238970588235294,0.0551470588235294,0.154411764705882,0.0477941176470588,0.00367647058823529,0.0147058823529412,0.485294117647059,272
"bailp001","B",0.223214285714286,0.0870535714285714,0.154017857142857,0.0357142857142857,0.00223214285714286,0.0178571428571429,0.479910714285714,448
"chapm001","R",0.244204018547141,0.108191653786708,0.114374034003091,0.0602782071097372,0.00309119010819165,0.0417310664605873,0.428129829984544,647
"confm001","L",0.241803278688525,0.0963114754098361,0.110655737704918,0.055327868852459,0.00614754098360656,0.040983606557377,0.448770491803279,488
"ramoh002","R",0.260617760617761,0.0752895752895753,0.154440154440154,0.0444015444015444,0.00579150579150579,0.0424710424710425,0.416988416988417,518
"solej001","R",0.245644599303136,0.128919860627178,0.109756097560976,0.0592334494773519,0.00174216027874564,0.0365853658536585,0.418118466898955,574
"yastm001","L",0.261603375527426,0.0928270042194093,0.118143459915612,0.0337552742616034,0.0189873417721519,0.0379746835443038,0.436708860759494,474
"schmc003","R",0.221238938053097,0.0442477876106195,0.141592920353982,0.0353982300884956,0.00884955752212389,0.0530973451327434,0.495575221238938,113
"broot002","L",0.206896551724138,0.137931034482759,0.103448275862069,0,0,0,0.551724137931034,29
"estrt001","R",0.199475065616798,0.0393700787401575,0.139107611548556,0.0393700787401575,0.005249343832021,0.0236220472440945,0.553805774278215,381
"florw001","R",0.136363636363636,0.0950413223140496,0.115702479338843,0.0495867768595041,0,0.0165289256198347,0.586776859504132,242
"matol002","R",0.153846153846154,0.032051282051282,0.141025641025641,0.032051282051282,0,0.032051282051282,0.608974358974359,156
"slata001","R",0.283018867924528,0.14622641509434,0.14622641509434,0.0188679245283019,0,0.00943396226415094,0.39622641509434,212
"fitzt001","R",0.316715542521994,0.0762463343108504,0.152492668621701,0.0557184750733138,0.00586510263929619,0.0439882697947214,0.348973607038123,341
"casac001","R",0.176,0.12,0.136,0.024,0,0.008,0.536,125
"phamt001","R",0.221757322175732,0.0774058577405858,0.161087866108787,0.0418410041841004,0.00627615062761506,0.0188284518828452,0.472803347280335,478
"dejop001","R",0.323651452282158,0.0663900414937759,0.12448132780083,0.0352697095435685,0,0.0497925311203319,0.400414937759336,482
"mendd002","R",0.24822695035461,0.0567375886524823,0.113475177304965,0.049645390070922,0,0.0212765957446809,0.51063829787234,141
"julkc001","R",0.264550264550265,0.0793650793650794,0.142857142857143,0.037037037037037,0,0.0158730158730159,0.46031746031746,189
"maldm001","R",0.346938775510204,0.0612244897959184,0.0612244897959184,0.0204081632653061,0,0.0272108843537415,0.482993197278912,147
"colao001","L",0.263157894736842,0.131578947368421,0.236842105263158,0,0,0,0.368421052631579,38
"lewir003","R",0.227692307692308,0.0861538461538462,0.110769230769231,0.0492307692307692,0,0.0492307692307692,0.476923076923077,325
"corrc001","R",0.166212534059946,0.11716621253406,0.171662125340599,0.0544959128065395,0.00544959128065395,0.0381471389645777,0.446866485013624,367
"herrj003","B",0.236842105263158,0.0789473684210526,0.140350877192982,0.0350877192982456,0.0087719298245614,0.0087719298245614,0.491228070175439,114
"albio001","B",0.154228855721393,0.0746268656716418,0.139303482587065,0.0696517412935323,0.00248756218905473,0.0199004975124378,0.539800995024876,402
